State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Timor-Leste,Females,,,,,,,,,,,,,,,,  10 ,
Timor-Leste,Males,,,,,,,,,,,,,,,,  39 ,
Viet Nam,Females,,,,,,,,,,,,  203 ,,,,,
Viet Nam,Males,,,,,,,,,,,,  1155 ,,,,,
Afghanistan,Females,,,,,,,,,,,,,  92 ,,,,
Afghanistan,Males,,,,,,,,,,,,,  1856 ,,,,
Bangladesh,Females,,,,,,,,,,,,,,,,  836 ,
Bangladesh,Males,,,,,,,,,,,,,,,,  3199 ,
Bhutan,Females,,,,,,,,,,,,,,,,  2 ,  4
Bhutan,Males,,,,,,,,,,,,,,,,  10 ,  5
India,Females,  16198 ,  15934 ,  15463 ,  14473 ,  15864 ,  15268 ,  15787 ,  16794 ,  16993 ,  17854 ,  17871 ,  18731 ,  18451 ,  17911 ,  18284 ,  17101 ,  17040
India,Males,  35146 ,  33469 ,  33248 ,  29858 ,  30626 ,  29827 ,  29312 ,  28568 ,  29006 ,  27970 ,  28589 ,  28909 ,  29027 ,  27967 ,  29072 ,  27284 ,  25638
Iran (Islamic Republic of),Females,,,,,,,,,,,,,,  292 ,  224 ,,
Iran (Islamic Republic of),Males,,,,,,,,,,,,,,  1745 ,  1712 ,,
Maldives,Females,,,,,,,,,,,,,,  1 ,,,
Maldives,Males,,,,,,,,,,,,,,  2 ,,,
Nepal,Females,,,,,,,,,,,,,,,  129 ,,
Nepal,Males,,,,,,,,,,,,,,,  429 ,,
Pakistan,Females,,,,,,,,,,,,,,,,  2164 ,
Pakistan,Males,,,,,,,,,,,,,,,,  7322 ,
Sri Lanka,Females,,,,,,,,,  349 ,  203 ,  168 ,  185 ,  171 ,  146 ,  125 ,  111 ,  130
Sri Lanka,Males,,,,,,,,,  1653 ,  896 ,  595 ,  547 ,  505 ,  473 ,  428 ,  376 ,  400
Armenia,Females,  26 ,  18 ,  20 ,  11 ,  22 ,  11 ,  26 ,  13 ,  26 ,  25 ,  10 ,  19 ,  19 ,  19 ,  20 ,  21 ,  16
